PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate, PaidAmt ,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate, PledgeAmtLocal , PaidAmtLocal 
23,Afghanistan,AFG23,CHF/000038/HAF10/3-2014/2460,2014,OCHA (Office for the Coordination of Humanitarian Affairs),1,25,UNOCHA,UN,25-03-14,1087230.72,01-01-01,17-04-14,"1,087,230.72",01-01-01,USD ,1,USD ,1,"1,087,231","1,087,231"
23,Afghanistan,AFG23,CHF/000055/HAF10/6-2014/2525,2014,Government of Australia,2,3,Australia,AU,03-06-14,371040,01-01-01,10-06-14,"371,040.00",01-01-01,AUD ,1.08,AUD ,1.08,"399,981","399,981"
23,Afghanistan,AFG23,CHF/000187/HAF10/5-2014/2522,2014,Government of Norway,12,17,Norway,NO,02-06-14,1340450.57,01-01-01,11-06-14,"1,340,450.57",01-01-01,NOK ,5.97,NOK ,5.97,"7,997,128","7,997,128"
23,Afghanistan,AFG23,CHF/000204/HAF10/12-2014/2879,2014,Government of Republic of Korea,14,63,Republic of Korea,KR,04-12-14,5000000,01-01-01,17-12-14,"5,000,000.00",01-01-01,USD ,1,USD ,1,"5,000,000","5,000,000"
23,Afghanistan,AFG23,CHF/000204/HAF10/6-2014/2520,2014,Government of Republic of Korea,14,63,Republic of Korea,KR,29-05-14,1000000,01-01-01,13-06-14,"1,000,000.00",01-01-01,USD ,1,USD ,1,"1,000,000","1,000,000"
23,Afghanistan,AFG23,CHF/000551/HAF10/12-2014/2869,2014,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,03-12-14,9449656.88,01-01-01,17-12-14,"9,375,600.00",01-01-01,GBP ,0.63,GBP ,0.64,"5,981,633","5,981,633"
23,Afghanistan,AFG23,CHF/000551/HAF10/3-2014/2461,2014,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,18-03-14,8254000,01-01-01,27-03-14,"8,254,000.00",01-01-01,GBP ,0.6,GBP ,0.6,"4,952,400","4,952,400"
23,Afghanistan,AFG23,CHF/000551/HAF10/9-2014/2461,2014,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,18-03-14,8293260,01-01-01,04-09-14,"8,252,000.00",01-01-01,GBP ,0.6,GBP ,0.6,"4,975,956","4,975,956"
23,Afghanistan,AFG23,CHF/000555/HAF10/3-2014/2517,2014,Sida,20,22,Sweden,SE,22-04-14,12093951.65,01-01-01,23-05-14,"11,970,374.60",01-01-01,SEK ,6.49,SEK ,6.56,"78,489,746","78,489,746"
23,Afghanistan,AFG23,CHF/000555/HAF10/3-2015/3110,2015,Sida,20,22,Sweden,SE,27-03-15,8085911.09,01-01-01,02-04-15,"8,073,705.23",01-01-01,SEK ,8.6,SEK ,8.61,"69,530,749","69,530,749"
23,Afghanistan,AFG23,CHF/000551/HAF10/12-2015/2869,2015,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,03-12-14,9450161.14,01-01-01,13-08-15,"9,346,800.00",01-01-01,GBP ,0.63,GBP ,0.64,"5,981,952","5,981,952"
23,Afghanistan,AFG23,CHF/000551/HAF10/12-2015/3521,2015,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,02-12-15,9022838.86,01-01-01,31-12-15,"8,875,800.00",01-01-01,GBP ,0.66,GBP ,0.68,"5,991,165","5,991,165"
23,Afghanistan,AFG23,CHF/000204/HAF10/11-2015/3556,2015,Government of Republic of Korea,14,63,Republic of Korea,KR,16-11-15,200000,01-01-01,03-12-15,"200,000.00",01-01-01,USD ,1,USD ,1,"200,000","200,000"
23,Afghanistan,AFG23,CHF/000187/HAF10/5-2015/3244,2015,Government of Norway,12,17,Norway,NO,19-05-15,1191797.97,01-01-01,01-06-15,"1,147,927.18",01-01-01,NOK ,7.56,NOK ,7.85,"9,012,376","9,012,376"
23,Afghanistan,AFG23,CHF/000055/HAF10/6-2015/3283,2015,Government of Australia,2,3,Australia,AU,11-06-15,2320097.34,01-01-01,26-06-15,"2,320,097.34",01-01-01,AUD ,1.31,AUD ,1.31,"3,041,648","3,041,648"
23,Afghanistan,AFG23,CHF/000055/HAF10/1-2015/3062,2015,Government of Australia,2,3,Australia,AU,10-02-15,3882944.04,01-01-01,08-04-15,"3,823,480.89",01-01-01,AUD ,1.29,AUD ,1.31,"4,993,466","4,993,466"
23,Afghanistan,AFG23,CHF/000095/HAF10/12-2014/2990,2015,Government of Denmark,5,8,Denmark,DK,23-12-14,3285003.56,01-01-01,22-01-15,"3,116,235.59",01-01-01,DKK ,6,DKK ,6.33,"19,713,306","19,713,306"
23,Afghanistan,AFG23,CHF/000117/HAF10/10-2015/3455,2015,Government of Germany,7,11,Germany,DE,27-10-15,1095525.93,01-01-01,17-11-15,"1,070,300.00",01-01-01,EUR ,0.89,EUR ,0.91,"976,114","976,114"
23,Afghanistan,AFG23,CHF/000117/HAF10/12-2016/4201,2016,Government of Germany,7,11,Germany,DE,05-12-16,7943975,01-01-01,12-12-16,"7,943,975.00",01-01-01,EUR ,0.94,EUR ,0.94,"7,483,224","7,483,224"
