activityDateType,contributionCode,contributionId,countryCode,donor,donorcommitment,donorpledge,donorreceived,donorwriteoff,latestDate,latestDateAsDate,donortype,regionName,statusCode,year
4,06-DC-AND-001,1,AND,Andorra,25316.46,25316.46,25440,0,16-01-18 22:52,16-01-18,Member State,Southern Europe,3,2006
4,06-DC-ATG-002,2,ATG,Antigua and Barbuda,5000,5000,5000,0,16-01-18 22:52,16-01-18,Member State,Latin America and the Caribbean,3,2006
4,06-DC-ARM-003,3,ARM,Armenia,5000,5000,5000,0,07-12-17 01:07,07-12-17,Member State,Western Asia,3,2006
4,06-DC-AUS-004,4,AUS,Australia,7575757.58,7575757.58,7600000,0,16-01-18 22:52,16-01-18,Member State,Australia and New Zealand,3,2006
4,06-DC-AZE-005,5,AZE,Azerbaijan,20000,20000,20000,0,07-12-17 01:06,07-12-17,Member State,Western Asia,3,2006
4,06-DC-BGD-006,6,BGD,Bangladesh,5000,5000,5000,0,06-10-23 11:55,06-10-23,Member State,Southern Asia,3,2006
4,06-DC-BEL-007,7,BEL,Belgium,2666666.67,2666666.67,2666194.01,0,16-01-18 22:53,16-01-18,Member State,Western Europe,3,2006
4,06-DC-CAN-008,8,CAN,Canada,21891891.89,21891891.89,21941309.26,0,16-01-18 22:53,16-01-18,Member State,Northern Americas,3,2006
4,06-DC-HRV-009,9,HRV,Croatia,5000,5000,5000,0,26-01-18 20:47,26-01-18,Member State,Southern Europe,3,2006
4,06-DC-CZE-010,10,CZE,Czech Republic,113327.29,113327.29,113301.61,0,16-01-18 22:54,16-01-18,Member State,Eastern Europe,3,2006
4,06-DC-DNK-011,11,DNK,Denmark,8403361.34,8403361.34,8401243.38,0,16-01-18 22:55,16-01-18,Member State,Northern Europe,3,2006
4,06-DC-PRV-012,12,PRV,Disaster Resource Network,10000,10000,10000,0,26-01-18 20:49,26-01-18,Private,,3,2006
4,06-DC-DJI-013,13,DJI,Djibouti,2000,2000,2000,0,26-01-18 20:49,26-01-18,Member State,Eastern Africa,3,2006
4,06-DC-ECU-014,14,ECU,Ecuador,20000,20000,20000,0,17-01-18 19:05,17-01-18,Member State,Latin America and the Caribbean,3,2006
4,06-DC-EGY-015,15,EGY,Egypt,15000,15000,15000,0,26-01-18 20:49,26-01-18,Member State,Northern Africa,3,2006
4,06-DC-EST-016,16,EST,Estonia,24000,24000,24000,0,07-12-17 01:00,07-12-17,Member State,Northern Europe,3,2006
4,06-DC-EST-017,17,EST,Estonia,28102,28102,28102,0,17-01-18 20:05,17-01-18,Member State,Northern Europe,3,2006
4,06-DC-FIN-018,18,FIN,Finland,4761904.76,4761904.76,5154000,0,26-01-18 20:52,26-01-18,Member State,Northern Europe,3,2006
4,06-DC-FRA-019,19,FRA,France,625000,625000,629350,0,26-01-18 20:52,26-01-18,Member State,Western Europe,3,2006
4,06-DC-FRA-020,20,FRA,France,641025.64,641025.64,634450,0,18-01-18 22:30,18-01-18,Member State,Western Europe,3,2006
4,06-DC-GRC-021,21,GRC,Greece,100000,100000,100000,0,18-01-18 23:10,18-01-18,Member State,Southern Europe,3,2006
4,06-DC-GRD-022,22,GRD,Grenada,10000,10000,10000,0,26-01-18 20:52,26-01-18,Member State,Latin America and the Caribbean,3,2006
4,06-DC-RLA-023,23,RLA,Hyogo Prefecture (Japan),431034.48,431034.48,424989.38,0,22-01-18 21:30,22-01-18,Regional Local Authority,,3,2006
4,06-DC-ISL-024,24,ISL,Iceland,149992.5,149992.5,150000,0,22-01-18 21:35,22-01-18,Member State,Northern Europe,3,2006
4,06-DC-IND-025,25,IND,India,1000000,1000000,1000000,0,26-01-18 20:53,26-01-18,Member State,Southern Asia,3,2006
4,06-DC-IDN-026,26,IDN,Indonesia,50000,50000,50000,0,22-01-18 18:19,22-01-18,Member State,South-Eastern Asia,3,2006
4,06-DC-IRL-027,27,IRL,Ireland,12658227.85,12658227.85,12601974,0,22-01-18 22:04,22-01-18,Member State,Northern Europe,3,2006
4,06-DC-JPN-028,28,JPN,Japan,7500000,7500000,7500000,0,22-01-18 22:54,22-01-18,Member State,Eastern Asia,3,2006
4,06-DC-KAZ-029,29,KAZ,Kazakhstan,25000,25000,25000,0,07-12-17 00:59,07-12-17,Member State,Central Asia,3,2006
4,06-DC-KOR-030,30,KOR,Korea,5000000,5000000,5000000,0,22-01-18 22:56,22-01-18,Member State,Eastern Asia,3,2006
4,06-DC-KWT-031,31,KWT,Kuwait,200000,200000,200000,0,03-11-22 19:08,03-11-22,Member State,Western Asia,3,2006
4,06-DC-LIE-032,32,LIE,Liechtenstein,100000,100000,100000,0,22-01-18 22:29,22-01-18,Member State,Western Europe,3,2006
4,06-DC-LUX-033,33,LUX,Luxembourg,4000000,4000000,4000000,0,26-01-18 20:55,26-01-18,Member State,Western Europe,3,2006
4,06-DC-MYS-034,34,MYS,Malaysia,50000,50000,50000,0,26-01-18 20:55,26-01-18,Member State,South-Eastern Asia,3,2006
4,06-DC-MEX-035,35,MEX,Mexico,50000,50000,50000,0,26-01-18 20:56,26-01-18,Member State,Latin America and the Caribbean,3,2006
4,06-DC-MCO-036,36,MCO,Monaco,25000,25000,25000,0,22-01-18 23:04,22-01-18,Member State,Western Europe,3,2006
4,06-DC-MAR-037,37,MAR,Morocco,5000,5000,5000,0,07-12-17 00:59,07-12-17,Member State,Latin America and the Caribbean,3,2006
4,06-DC-NLD-038,38,NLD,Netherlands,25316455.7,25316455.7,25260000,0,22-01-18 21:50,22-01-18,Member State,Western Europe,3,2006
4,06-DC-NLD-039,39,NLD,Netherlands,26666666.67,26666666.67,26600000,0,07-12-17 00:57,07-12-17,Member State,Western Europe,3,2006
4,06-DC-NGA-040,40,NGA,Nigeria,2452,2452,2452,0,07-02-22 21:57,07-02-22,Member State,Western Africa,3,2006
4,06-DC-NOR-041,41,NOR,Norway,29993971.19,29993971.19,29993971.19,0,22-01-18 23:53,22-01-18,Member State,Northern Europe,3,2006
4,06-DC-PAK-042,42,PAK,Pakistan,20000,20000,20000,0,22-01-18 23:52,22-01-18,Member State,Southern Asia,3,2006
4,06-DC-POL-043,43,POL,Poland,250000,250000,250000,0,22-01-18 23:51,22-01-18,Member State,Eastern Europe,3,2006
4,06-DC-PRT-044,44,PRT,Portugal,256410.26,256410.26,254220,0,22-01-18 23:50,22-01-18,Member State,Southern Europe,3,2006
4,06-DC-QAT-045,45,QAT,Qatar,2000000,2000000,2000000,0,22-01-18 23:49,22-01-18,Member State,Western Asia,3,2006
4,06-DC-SAU-046,46,SAU,Saudi Arabia,50000,50000,50000,0,22-01-18 23:48,22-01-18,Member State,Western Asia,3,2006
4,06-DC-SVN-047,47,SVN,Slovenia,10000,10000,10000,0,22-01-18 23:47,22-01-18,Member State,Southern Europe,3,2006
4,06-DC-ZAF-048,48,ZAF,South Africa,288461.54,288461.54,288577.15,0,22-01-18 23:46,22-01-18,Member State,Southern Africa,3,2006
